system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,landcover,mndwi,ndbi,ndvi,random,slope,.geo
00000000000000000000_0,0.1350502512562814,0.3944604521973886,0.39473684210526316,0.13709677419354838,0.1766389532506474,0.2564971015436722,0.21575532900834105,0.2480364834051178,0.25662420382165607,0.3130350194552529,0.27155060833549055,0.27599093303926975,0.648409051488323,0.022325581,0,0.3274712963989901,0.48042172685629053,0.5688684390338696,0.6120367291537842,0.15531828605556722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.1144001256281407,0.3719180749162838,0.3406980016887138,0.07944255800792303,0.11523783562764073,0.16348596365531168,0.22564102564102564,0.29547757790727136,0.3080254777070064,0.275810635538262,0.3296660626456122,0.32677816577834956,0.6617214727692436,0.021395348,0,0.24999194168543104,0.4998775579478226,0.6495946756186294,0.3030411711519446,0.07425364907616984,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.16331658291457288,0.3707707084079641,0.34886011820996343,0.11544991511035653,0.13575030666484939,0.24698755943463818,0.2524559777571826,0.284266531542944,0.27681528662420385,0.25395590142671853,0.28138752265078953,0.28524168351405993,0.707718575535767,0.019069767,0,0.2834015179025601,0.5222852715986035,0.5247922808898419,0.8185363716418416,0.14862588348487993,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.16331658291457288,0.507914752225943,0.6089220377146074,0.18704018109790604,0.2175275998364454,0.37230508695368986,0.3270929873339512,0.3548264504687104,0.3489171974522293,0.41037613488975355,0.36124773492104584,0.2917355878208663,0.6561701112016738,0.024186047,0,0.3178961567302893,0.4746705008387251,0.5427279462483714,0.9331357327561752,0.10886769888471148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.1461212311557789,0.4571606572696831,0.4463833380242049,0.06720430107526881,0.08934169278996865,0.21937080700840228,0.3180722891566265,0.3771852039523689,0.3788535031847134,0.34377431906614786,0.36500129433083095,0.3281872204864302,0.6950777505757658,0.013023255,0,0.17279226716198245,0.4953925597936808,0.6316481995337688,0.400131383869479,0.20211302297385134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.1346576633165829,0.45176128546582567,0.43618069237264284,0.11453027730616865,0.11632819953659534,0.31401029114830975,0.2792709298733395,0.34887256143906764,0.34611464968152866,0.36407263294422826,0.35289930106135126,0.3623108497212522,0.6871958389835201,0.013953488,0,0.2165791059099845,0.47566860778604547,0.5557332940179132,0.41141535963136466,0.2143967799325946,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.14800565326633167,0.5166212392596631,0.5210385589642555,0.08255517826825128,0.09813275180591523,0.23878069432684165,0.34976830398517145,0.3737015454775779,0.3821656050955414,0.2974059662775616,0.36493657778928296,0.34429945475709123,0.7703017314217302,0.014883721,0,0.16884698213410937,0.5693471500985529,0.5740652948602536,0.295047081420321,0.038966706001033496,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.15420854271356785,0.4452145471536485,0.4283703912186884,0.08573853989813243,0.09458906910181274,0.2038689506936755,0.2674698795180723,0.31435267291613883,0.3265605095541401,0.26783398184176394,0.31491069117266374,0.32567542731115606,0.7407660023430183,0.014883721,0,0.18521611481701572,0.5577143033787753,0.5876244967154058,0.09616552601708994,0.04990569062914543,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.20131909547738694,0.5303221452119513,0.5527723050942865,0.1434634974533107,0.1591931307073736,0.33296424151631604,0.32140871177015756,0.3445654927793261,0.34929936305732484,0.35862516212710766,0.31931141599792906,0.307664032346995,0.716948281658742,0.018139536,0,0.24453911663127184,0.5250049588416146,0.5367701270727018,0.4430745738685862,0.04186774333897999,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.16465138190954773,0.46755444799210866,0.49767801857585137,0.20472552348613468,0.22379719231293443,0.37321696085455613,0.3246833487797343,0.3489359006840638,0.35426751592356687,0.42983138780804153,0.35031063939943047,0.32236721190957546,0.6130058207477309,0.019534884,0,0.3431757997367988,0.43771951919174956,0.5540140390439792,0.7148812031666812,0.1787379040424084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.16465138190954773,0.45763310230252063,0.5077399380804953,0.18604980192416526,0.2021262096224615,0.3353090601185436,0.3240037071362373,0.34912591841905244,0.35496815286624206,0.4140077821011673,0.3448097333678488,0.32236721190957546,0.6112451815320918,0.021860465,0,0.3246470867469986,0.44240223886241586,0.5718402305290963,0.7490092287717461,0.17171015860790867,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.17635050251256282,0.44757677231783616,0.4539121868843231,0.17869269949066213,0.1857707509881423,0.3019605288868625,0.3171455050973123,0.3219533823156828,0.3293630573248408,0.33488975356679634,0.312645612218483,0.3256141640629786,0.6535053823609039,0.019069767,0,0.31070698985156375,0.4968620927952686,0.5443103834940569,0.010604390390655971,0.12196328846500663,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.19425251256281406,0.41113101264179847,0.4070503799605967,0.12096774193548387,0.1292081232111217,0.2010030612909529,0.321285140562249,0.3366480871548011,0.3327388535031847,0.22561608300907912,0.35212270256277506,0.3289223794645592,0.7295580557124194,0.019069767,0,0.2529097877242449,0.5826927737959211,0.5474017224207627,0.4396916592695016,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.19959170854271358,0.3209615035173793,0.28694061356600054,0.13851160158460668,0.17091454272863568,0.17638246596756335,0.23256101328390485,0.25842411958449457,0.2692993630573248,0.2496757457846952,0.28294071964794204,0.31575078110641425,0.6001508539004773,0.020465117,0,0.36763412489006153,0.48674286154082963,0.6064231590306614,0.651818191536325,0.03897263684396428,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.18907035175879397,0.31488721023803967,0.29383619476498735,0.2023203169213356,0.22734087501703693,0.24334006383117307,0.2454124189063948,0.24651634152520902,0.26254777070063695,0.2833981841763943,0.2760807662438519,0.2868345279666728,0.557434683689913,0.02,0,0.4442200379700994,0.4449725556742714,0.5568795872274778,0.22984002329990394,0.06593380350147916,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.2190640703517588,0.2891052098746204,0.2568252181255277,0.14657611771363893,0.16818863295624914,0.1776851429688009,0.2089589125733704,0.23017481631618952,0.24152866242038218,0.2383916990920882,0.25174734662179654,0.31035961526680145,0.5784797889192744,0.020465117,0,0.38897794203518654,0.47044601273643183,0.592939852152844,0.26171568787647825,0.01949442456411411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.17415201005025124,0.3121875243361109,0.28764424430059105,0.19100169779286927,0.219435736677116,0.23291864782127272,0.228606734630831,0.25335697998479856,0.26038216560509553,0.26926070038910505,0.2782811286564846,0.3375604974575752,0.5700129230930876,0.02,0,0.4372383153614184,0.4572592904039587,0.5549791823083748,0.821074037698938,0.045954673409923076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0.2028894472361809,0.32541598525556165,0.31325640303968477,0.15166949632144877,0.18236336377265913,0.19461994398488894,0.24405313561940067,0.2696985051938181,0.27923566878980893,0.2594033722438392,0.2938130986280093,0.3199166819824787,0.5954351113169392,0.019534884,0,0.3801092992372246,0.4797197996116671,0.5912804996949244,0.950967745464777,0.060384323623046104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.16653580402010051,0.30516834099109624,0.28328173374613,0.16652518392756083,0.19435736677115986,0.20947046179899695,0.22971887550200804,0.26266784899923995,0.2746496815286624,0.26893644617380025,0.2789282940719648,0.26232922869570546,0.5677996394261595,0.019534884,0,0.41186991812176027,0.4511406740346568,0.5817892551560894,0.8178110298385117,0.058415997047482335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,0.17383793969849246,0.2996339848921424,0.27230509428651845,0.15379173740803623,0.1816818863295625,0.19618315638637399,0.21872103799814643,0.2486065366100836,0.26375796178343947,0.2650453955901427,0.2739451203727673,0.2979231758867855,0.5678971667869914,0.019069767,0,0.39941575750252295,0.450132598769439,0.5946945011602005,0.08264361198090642,0.019493756605392005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,0.1818467336683417,0.32318874438647044,0.2970025330706445,0.14013865308432372,0.17009676979691973,0.1841985279749886,0.253877046648131,0.27780592855333164,0.29420382165605097,0.28949416342412454,0.30352057986021225,0.30705139986522084,0.5648454354612916,0.018139536,0,0.3648284708826237,0.44625017264398503,0.6323594123923252,0.5091421305551431,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,0.16488693467336685,0.32737325753445995,0.30833098789755137,0.1697792869269949,0.19490254872563717,0.2124666189018433,0.24491813407476057,0.2696985051938181,0.2813375796178344,0.28236057068741893,0.29627232720683405,0.28083072964528577,0.5715190497773586,0.018139536,0,0.39510460726260066,0.45709606593960334,0.590538138332256,0.8136777162663913,0.2480784034271252,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0.20469535175879397,0.31272746151649666,0.2927807486631016,0.18548387096774194,0.20703284721275725,0.2196313424086498,0.2260735248687056,0.24258930833544465,0.2523566878980892,0.2565499351491569,0.2674734662179653,0.3365802854867365,0.577091983961763,0.017674418,0,0.42181306004869157,0.4716356586585594,0.5576443207447573,0.5557211531819753,0.06038131682360678,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.20045540201005024,0.3362822210108247,0.3014354066985646,0.16454442558007923,0.1883603652719095,0.19488047938513645,0.23354958294717332,0.2756523942234609,0.2870700636942675,0.2691958495460441,0.299378721201139,0.3332720700851559,0.5819848244453741,0.016744185,0,0.3800806829477556,0.47840950308306124,0.6002864558093454,0.3760597529714561,0.10179284238500964,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.2305276381909548,0.39473042078758147,0.3867154517309316,0.22297679683078664,0.24696742537821997,0.26756985605419137,0.31269694161260425,0.324233595135546,0.3284076433121019,0.31893644617380024,0.3431918198291483,0.3355388102677204,0.5822705937124117,0.017209303,0,0.40807522433255405,0.47527311765508196,0.562833134071778,0.6442406225903714,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.18687185929648242,0.3440438179788698,0.32493667323388686,0.14912280701754385,0.17500340738721548,0.19175405458216635,0.24782205746061167,0.27482898403851025,0.2774522292993631,0.27120622568093383,0.28740616101475536,0.2898976903755437,0.5977746611691468,0.016744185,0,0.3568326523471642,0.4827319745378871,0.6062121992517726,0.8341768337115276,0.03631580836742675,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.14431532663316582,0.4835500869610363,0.4700956937799043,0.09762308998302208,0.1074689927763391,0.2785774767146486,0.2994748223663886,0.364517354953129,0.3703821656050955,0.3303501945525292,0.3765855552679265,0.37070391472155856,0.7287842959217447,0.016744185,0,0.1923300310316789,0.5223420915260135,0.5615125457191406,0.5605621747293957,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.14808417085427136,0.4496690288918309,0.3889670700816212,0.10420203735144312,0.11516968788333107,0.26079593564775616,0.3052826691380908,0.3411451735495313,0.3554140127388535,0.3208819714656291,0.361830183794978,0.3482815658886234,0.7044250587466085,0.01627907,0,0.2156461545525468,0.5102629720783487,0.5709473725559516,0.3463907132282096,0.036316289140076286,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.13159547738693467,0.4740336941567376,0.4403321137067267,0.09005376344086022,0.09895052473763119,0.23630560802449033,0.2637009576768613,0.3410184950595389,0.3688535031847134,0.2948767833981842,0.358594356717577,0.3259204803038657,0.742571470038293,0.015813954,0,0.18260603878986698,0.5484043707790159,0.574544476929798,0.2062278954315262,0.015328920676236733,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.13159547738693467,0.4264517301352439,0.4117647058823529,0.12125070741369554,0.13159329426195993,0.26079593564775616,0.2868087735557615,0.33481124904991133,0.3454140127388535,0.3002594033722438,0.33833807921304687,0.3259204803038657,0.6962106014468832,0.015813954,0,0.2494535638900872,0.5141710477921291,0.5539306651189903,0.15351305117182124,0.04187077772373527,"{""type"":""MultiPoint"",""coordinates"":[]}"
