fid,flooded_sum,cfevi_norm
2991,4,0
2992,2,0
2993,1,0.00778172184725889
2994,2,0.0369631787744797
2995,7,0.0223724503108693
2996,5,0.00778172184725889
2997,2,0
2998,1,0
2999,14,0.0155634436945178
3000,4,0.00778172184725889
3001,14,0.0544720529308122
3002,19,0.0233451655417767
3003,8,0.00389086092362945
3004,7,0.00778172184725889
3005,9,0.00778172184725889
3006,1,0
3007,10,0
3008,42,0.326832317584873
3009,3,0.0155634436945178
3010,10,0.0136180132327031
3011,6,0.0155634436945178
3012,19,0.07003549662533
3013,7,0
3014,4,0
3015,1,0
3016,3,0
3017,2,0
3018,15,0.00583629138544417
3019,19,0.0389086092362945
3020,6,0
3021,1,0
3022,1,0.00778172184725889
3023,1,0.0466903310835534
3024,10,0
3025,2,0
3026,1,0
3027,1,0.0155634436945178
3028,7,0
3029,3,0
3030,4,0
3031,5,0.0204270198490546
3032,12,0
3033,14,0.103696317877448
3034,7,0
3035,2,0
3036,1,0
3037,1,0
3038,3,0
3039,3,0.00778172184725889
3040,5,0.00778172184725889
3041,15,0.0311268873890356
3042,4,0
3043,7,0
3044,2,0
3045,4,0
3046,5,0.0155634436945178
3047,2,0
